id,slug,url,json,recipe,topic,viewer,support,property
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-continuous.json,"Book 'behavior' Variations (continuous, individuals)",property,UV,partial,behavior
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-individuals.json,"Book 'behavior' Variations (continuous, individuals)",property,UV,partial,behavior
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-continuous.json,"Book 'behavior' Variations (continuous, individuals)",property,UV,partial,image
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-individuals.json,"Book 'behavior' Variations (continuous, individuals)",property,UV,partial,image
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-continuous.json,"Book 'behavior' Variations (continuous, individuals)",property,Mirador,Yes,behavior
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-individuals.json,"Book 'behavior' Variations (continuous, individuals)",property,Mirador,Yes,behavior
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-continuous.json,"Book 'behavior' Variations (continuous, individuals)",property,Mirador,Yes,image
11,0011-book-3-behavior,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/,https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-individuals.json,"Book 'behavior' Variations (continuous, individuals)",property,Mirador,Yes,image
13,0013-placeholderCanvas,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/manifest.json,Load a Preview Image Before the Main Content,property,Clover,Yes,placeholderCanvas
13,0013-placeholderCanvas,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/manifest.json,Load a Preview Image Before the Main Content,property,Ramp,Yes,placeholderCanvas
13,0013-placeholderCanvas,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/manifest.json,Load a Preview Image Before the Main Content,AV,Clover,Yes,placeholderCanvas
13,0013-placeholderCanvas,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/,https://iiif.io/api/cookbook/recipe/0013-placeholderCanvas/manifest.json,Load a Preview Image Before the Main Content,AV,Ramp,Yes,placeholderCanvas
14,0014-accompanyingcanvas,https://iiif.io/api/cookbook/recipe/0014-accompanyingcanvas/,https://iiif.io/api/cookbook/recipe/0014-accompanyingcanvas/manifest.json,Audio Presentation with Accompanying Image,property,Clover,Yes,accompanyingCanvas
14,0014-accompanyingcanvas,https://iiif.io/api/cookbook/recipe/0014-accompanyingcanvas/,https://iiif.io/api/cookbook/recipe/0014-accompanyingcanvas/manifest.json,Audio Presentation with Accompanying Image,AV,Clover,Yes,accompanyingCanvas
15,0015-start,https://iiif.io/api/cookbook/recipe/0015-start/,https://iiif.io/api/cookbook/recipe/0015-start/manifest.json,Begin playback at a specific point - Time-based media,AV,Ramp,Yes,start
15,0015-start,https://iiif.io/api/cookbook/recipe/0015-start/,https://iiif.io/api/cookbook/recipe/0015-start/manifest.json,Begin playback at a specific point - Time-based media,property,Ramp,Yes,start
17,0017-transcription-av,https://iiif.io/api/cookbook/recipe/0017-transcription-av/,https://iiif.io/api/cookbook/recipe/0017-transcription-av/manifest.json,Providing Access to Transcript Files of A/V Content,AV,UV,Yes,rendering
17,0017-transcription-av,https://iiif.io/api/cookbook/recipe/0017-transcription-av/,https://iiif.io/api/cookbook/recipe/0017-transcription-av/manifest.json,Providing Access to Transcript Files of A/V Content,AV,Mirador,Yes,rendering
17,0017-transcription-av,https://iiif.io/api/cookbook/recipe/0017-transcription-av/,https://iiif.io/api/cookbook/recipe/0017-transcription-av/manifest.json,Providing Access to Transcript Files of A/V Content,AV,Ramp,Yes,rendering
19,0019-html-in-annotations,https://iiif.io/api/cookbook/recipe/0019-html-in-annotations/,https://iiif.io/api/cookbook/recipe/0019-html-in-annotations/manifest.json,HTML in Annotations,basic,Mirador,Yes,
19,0019-html-in-annotations,https://iiif.io/api/cookbook/recipe/0019-html-in-annotations/,https://iiif.io/api/cookbook/recipe/0019-html-in-annotations/manifest.json,HTML in Annotations,basic,Annona,Yes,
21,0021-tagging,https://iiif.io/api/cookbook/recipe/0021-tagging/,https://iiif.io/api/cookbook/recipe/0021-tagging/manifest.json,Simple Annotation — Tagging,annotation,Mirador,Yes,
21,0021-tagging,https://iiif.io/api/cookbook/recipe/0021-tagging/,https://iiif.io/api/cookbook/recipe/0021-tagging/manifest.json,Simple Annotation — Tagging,annotation,Annona,Yes,
