Recipe A,Recipe B,Similarity Score
Embedding HTML in descriptive properties,"Book 'behavior' Variations (continuous, individuals)",0.21854530668770508
Embedding HTML in descriptive properties,Load a Preview Image Before the Main Content,0.1613797663049386
Embedding HTML in descriptive properties,Audio Presentation with Accompanying Image,0.19443817744291067
Embedding HTML in descriptive properties,Begin playback at a specific point - Time-based media,0.26151215234313735
Embedding HTML in descriptive properties,Providing Access to Transcript Files of A/V Content,0.15483838819641674
Embedding HTML in descriptive properties,HTML in Annotations,0.2543966675601166
Embedding HTML in descriptive properties,Simple Annotation — Tagging,0.28338214060193195
Embedding HTML in descriptive properties,Table of Contents for Book Chapters,0.21377863274317932
Embedding HTML in descriptive properties,Table of Contents for A/V Content,0.15721482511038
Embedding HTML in descriptive properties,Metadata on any Resource,0.21704492250608615
Embedding HTML in descriptive properties,Multi-volume Work with Individually-bound Volumes,0.12063248337604184
Embedding HTML in descriptive properties,Multiple Volumes in a Single Bound Volume,0.19067943538742074
Embedding HTML in descriptive properties,Simple Collection,0.17220411786793785
Embedding HTML in descriptive properties,Providing Alternative Representations,0.25084366131529795
Embedding HTML in descriptive properties,Linking to Web Page of an Object,0.22906435213508683
Embedding HTML in descriptive properties,Linking to Structured Metadata,0.2552286841829367
Embedding HTML in descriptive properties,Table of Contents for Multiple A/V Files on a Single Canvas,0.1690707106194827
Embedding HTML in descriptive properties,Table of Contents for Multiple A/V Files on Multiple Canvases,0.1635812527284535
Embedding HTML in descriptive properties,Basic Newspaper,0.16126846932703973
Embedding HTML in descriptive properties,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.16032868548163878
Embedding HTML in descriptive properties,Image Thumbnail for Manifest,0.22654422844536326
Embedding HTML in descriptive properties,Displaying Multiple Values with Language Maps,0.1899439632550134
Embedding HTML in descriptive properties,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.1731531764265328
Embedding HTML in descriptive properties,Locate a Manifest on a Web Map,0.1899313842014576
Embedding HTML in descriptive properties,Load Manifest Beginning with a Specific Canvas,0.24757566264480202
Embedding HTML in descriptive properties,Using Caption and Subtitle Files with Video Content,0.14848162049876437
Embedding HTML in descriptive properties,Navigation by Chronology,0.1168946382600831
Embedding HTML in descriptive properties,Acknowledge Content Contributors,0.17752428384858074
Embedding HTML in descriptive properties,Locate Multiple Canvases on a Web Map,0.18304830655053644
Embedding HTML in descriptive properties,Annotation with a Non-Rectangular Polygon (Updated),0.15830871259090049
Embedding HTML in descriptive properties,Simplest Annotation,0.30532643495751394
Embedding HTML in descriptive properties,Embedded or referenced Annotations,0.13758463928469836
Embedding HTML in descriptive properties,Missing Images in a Sequence,0.24431192992676495
Embedding HTML in descriptive properties,Addressing a Spatial Region,0.22309413450256843
Embedding HTML in descriptive properties,Image in Annotations,0.32628429047046587
Rights statement,Simplest Manifest - Single Image File,0.2512971070540739
Rights statement,Simplest Manifest - Audio,0.15563026374609146
Rights statement,Simplest Manifest - Video,0.17706299698686856
Rights statement,Image and Canvas with Differing Dimensions,0.22849372013461786
Rights statement,Support Deep Viewing with Basic Use of a IIIF Image Service,0.39074674918577923
Rights statement,Internationalization and Multi-language Values,0.1983373415197861
Rights statement,Embedding HTML in descriptive properties,0.6723175254546202
Rights statement,Simple Manifest - Book,0.26807876705822514
Rights statement,Viewing direction and Its Effect on Navigation,0.2073721496516412
Rights statement,"Book 'behavior' Variations (continuous, individuals)",0.22463895767189956
Rights statement,Load a Preview Image Before the Main Content,0.1662638356957466
Rights statement,Audio Presentation with Accompanying Image,0.19946775102790912
Rights statement,Begin playback at a specific point - Time-based media,0.29410818810500033
Rights statement,Providing Access to Transcript Files of A/V Content,0.15853395084278876
Rights statement,HTML in Annotations,0.2642696106753542
Rights statement,Simple Annotation — Tagging,0.29101415605152037
Rights statement,Table of Contents for Book Chapters,0.21940616966027568
Rights statement,Table of Contents for A/V Content,0.16097890754444183
Rights statement,Metadata on any Resource,0.20780088376079794
Rights statement,Multi-volume Work with Individually-bound Volumes,0.12292815701581802
Rights statement,Multiple Volumes in a Single Bound Volume,0.19822005723556502
Rights statement,Simple Collection,0.17357257976221419
Rights statement,Providing Alternative Representations,0.2574566521932493
Rights statement,Linking to Web Page of an Object,0.22556688250456203
Rights statement,Linking to Structured Metadata,0.2605083102599811
Rights statement,Table of Contents for Multiple A/V Files on a Single Canvas,0.17073267650510388
Rights statement,Table of Contents for Multiple A/V Files on Multiple Canvases,0.1648972708088268
Rights statement,Basic Newspaper,0.16586909854416196
Rights statement,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.19456799242411307
Rights statement,Image Thumbnail for Manifest,0.232582305878067
Rights statement,Displaying Multiple Values with Language Maps,0.19836651218259327
Rights statement,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.17783318571543819
Rights statement,Locate a Manifest on a Web Map,0.19475683160558474
Rights statement,Load Manifest Beginning with a Specific Canvas,0.2555164002702367
Rights statement,Using Caption and Subtitle Files with Video Content,0.15217117009306302
Rights statement,Navigation by Chronology,0.11894700209523035
Rights statement,Acknowledge Content Contributors,0.18060931186224372
Rights statement,Locate Multiple Canvases on a Web Map,0.18755332925662654
Rights statement,Annotation with a Non-Rectangular Polygon (Updated),0.16404735296727926
Rights statement,Simplest Annotation,0.3135830011540182
Rights statement,Embedded or referenced Annotations,0.13990947483697813
Rights statement,Missing Images in a Sequence,0.2488015286812567
Rights statement,Addressing a Spatial Region,0.2297798937224666
Rights statement,Image in Annotations,0.335149096229359
Simple Manifest - Book,Simplest Manifest - Single Image File,0.33762538005249454
Simple Manifest - Book,Simplest Manifest - Audio,0.21151474288098512
Simple Manifest - Book,Simplest Manifest - Video,0.24276630090773169
